Assembly	uniq_contigs
# misassemblies	10
  # contig misassemblies	10
    # c. relocations	9
    # c. translocations	1
    # c. inversions	0
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	9
Misassembled contigs length	26612572
# local misassemblies	9
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# misassemblies caused by fragmented reference	0
# possible TEs	2
# unaligned mis. contigs	0
# mismatches	3304
# indels	967
    # indels (<= 5 bp)	760
    # indels (> 5 bp)	207
Indels length	110968
